,Unnamed: 0,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,sunshine_hours_per_year,year
119,155,5-14 years,Albania,4060758804.0,307356.0,103.3,female,0.65,2.0,2544.0,2001.0
120,156,75+ years,Albania,4435078648.0,31007.0,118.0,male,12.9,4.0,2544.0,2002.0
121,157,25-34 years,Albania,4435078648.0,206286.0,118.0,male,11.15,23.0,2544.0,2002.0
122,158,35-54 years,Albania,4435078648.0,382139.0,118.0,male,9.16,35.0,2544.0,2002.0
123,159,55-74 years,Albania,4435078648.0,198130.0,118.0,male,6.56,13.0,2544.0,2002.0
124,160,15-24 years,Albania,4435078648.0,263067.0,118.0,male,5.7,15.0,2544.0,2002.0
125,161,15-24 years,Albania,4435078648.0,275970.0,118.0,female,5.07,14.0,2544.0,2002.0
126,162,35-54 years,Albania,4435078648.0,375113.0,118.0,female,4.0,15.0,2544.0,2002.0
127,163,25-34 years,Albania,4435078648.0,223685.0,118.0,female,3.13,7.0,2544.0,2002.0
128,164,75+ years,Albania,4435078648.0,47407.0,118.0,female,2.11,1.0,2544.0,2002.0
129,165,55-74 years,Albania,4435078648.0,191712.0,118.0,female,2.09,4.0,2544.0,2002.0
130,166,5-14 years,Albania,4435078648.0,304850.0,118.0,female,0.33,1.0,2544.0,2002.0
131,167,5-14 years,Albania,4435078648.0,319473.0,118.0,male,0.31,1.0,2544.0,2002.0
132,168,75+ years,Albania,5746945913.0,49088.0,152.0,female,12.22,6.0,2544.0,2003.0
133,169,55-74 years,Albania,5746945913.0,201520.0,152.0,male,7.94,16.0,2544.0,2003.0
134,170,35-54 years,Albania,5746945913.0,386196.0,152.0,male,7.25,28.0,2544.0,2003.0
135,171,15-24 years,Albania,5746945913.0,273235.0,152.0,male,5.49,15.0,2544.0,2003.0
136,172,15-24 years,Albania,5746945913.0,283709.0,152.0,female,4.93,14.0,2544.0,2003.0
137,173,55-74 years,Albania,5746945913.0,195699.0,152.0,female,4.6,9.0,2544.0,2003.0
138,174,25-34 years,Albania,5746945913.0,205433.0,152.0,male,4.38,9.0,2544.0,2003.0
139,175,25-34 years,Albania,5746945913.0,222941.0,152.0,female,4.04,9.0,2544.0,2003.0
140,176,35-54 years,Albania,5746945913.0,381760.0,152.0,female,3.41,13.0,2544.0,2003.0
141,177,75+ years,Albania,5746945913.0,32667.0,152.0,male,3.06,1.0,2544.0,2003.0
142,178,5-14 years,Albania,5746945913.0,313204.0,152.0,male,1.28,4.0,2544.0,2003.0
143,179,5-14 years,Albania,5746945913.0,298477.0,152.0,female,0.0,0.0,2544.0,2003.0
144,180,75+ years,Albania,7314865176.0,35526.0,185.2,male,11.26,4.0,2544.0,2004.0
145,181,35-54 years,Albania,7314865176.0,391767.0,185.2,male,9.95,39.0,2544.0,2004.0
146,182,25-34 years,Albania,7314865176.0,203938.0,185.2,male,7.85,16.0,2544.0,2004.0
147,183,15-24 years,Albania,7314865176.0,292268.0,185.2,female,6.84,20.0,2544.0,2004.0
148,184,15-24 years,Albania,7314865176.0,286768.0,185.2,male,6.63,19.0,2544.0,2004.0
149,185,75+ years,Albania,7314865176.0,50970.0,185.2,female,5.89,3.0,2544.0,2004.0
150,186,25-34 years,Albania,7314865176.0,222389.0,185.2,female,4.95,11.0,2544.0,2004.0
151,187,55-74 years,Albania,7314865176.0,207202.0,185.2,male,4.83,10.0,2544.0,2004.0
152,188,35-54 years,Albania,7314865176.0,391436.0,185.2,female,4.34,17.0,2544.0,2004.0
153,189,55-74 years,Albania,7314865176.0,203841.0,185.2,female,1.47,3.0,2544.0,2004.0
154,190,5-14 years,Albania,7314865176.0,286705.0,185.2,female,1.05,3.0,2544.0,2004.0
155,191,5-14 years,Albania,7314865176.0,302181.0,185.2,male,0.33,1.0,2544.0,2004.0
156,192,15-24 years,Albania,8158548717.0,281922.0,200.2,female,0.0,0.0,2544.0,2005.0
157,193,25-34 years,Albania,8158548717.0,190745.0,200.2,female,0.0,0.0,2544.0,2005.0
158,194,35-54 years,Albania,8158548717.0,386513.0,200.2,female,0.0,0.0,2544.0,2005.0
159,195,5-14 years,Albania,8158548717.0,276559.0,200.2,female,0.0,0.0,2544.0,2005.0
160,196,55-74 years,Albania,8158548717.0,210998.0,200.2,female,0.0,0.0,2544.0,2005.0
161,197,75+ years,Albania,8158548717.0,53191.0,200.2,female,0.0,0.0,2544.0,2005.0
162,198,15-24 years,Albania,8158548717.0,281675.0,200.2,male,0.0,0.0,2544.0,2005.0
163,199,25-34 years,Albania,8158548717.0,177519.0,200.2,male,0.0,0.0,2544.0,2005.0
164,200,35-54 years,Albania,8158548717.0,380242.0,200.2,male,0.0,0.0,2544.0,2005.0
165,201,5-14 years,Albania,8158548717.0,291367.0,200.2,male,0.0,0.0,2544.0,2005.0
166,202,55-74 years,Albania,8158548717.0,214118.0,200.2,male,0.0,0.0,2544.0,2005.0
167,203,75+ years,Albania,8158548717.0,38471.0,200.2,male,0.0,0.0,2544.0,2005.0
168,204,15-24 years,Albania,8992642349.0,283138.0,222.6,female,0.0,0.0,2544.0,2006.0
169,205,25-34 years,Albania,8992642349.0,186391.0,222.6,female,0.0,0.0,2544.0,2006.0
170,206,35-54 years,Albania,8992642349.0,388746.0,222.6,female,0.0,0.0,2544.0,2006.0
171,207,5-14 years,Albania,8992642349.0,267316.0,222.6,female,0.0,0.0,2544.0,2006.0
172,208,55-74 years,Albania,8992642349.0,215907.0,222.6,female,0.0,0.0,2544.0,2006.0
173,209,75+ years,Albania,8992642349.0,56011.0,222.6,female,0.0,0.0,2544.0,2006.0
174,210,15-24 years,Albania,8992642349.0,286679.0,222.6,male,0.0,0.0,2544.0,2006.0
175,211,25-34 years,Albania,8992642349.0,174092.0,222.6,male,0.0,0.0,2544.0,2006.0
176,212,35-54 years,Albania,8992642349.0,379076.0,222.6,male,0.0,0.0,2544.0,2006.0
177,213,5-14 years,Albania,8992642349.0,282678.0,222.6,male,0.0,0.0,2544.0,2006.0
178,214,55-74 years,Albania,8992642349.0,219360.0,222.6,male,0.0,0.0,2544.0,2006.0
179,215,75+ years,Albania,8992642349.0,40782.0,222.6,male,0.0,0.0,2544.0,2006.0
180,216,75+ years,Albania,10701011897.0,42366.0,302.4,male,18.88,8.0,2544.0,2007.0
181,217,35-54 years,Albania,10701011897.0,378626.0,302.4,male,7.66,29.0,2544.0,2007.0
182,218,55-74 years,Albania,10701011897.0,224160.0,302.4,male,6.25,14.0,2544.0,2007.0
183,219,75+ years,Albania,10701011897.0,57404.0,302.4,female,5.23,3.0,2544.0,2007.0
184,220,25-34 years,Albania,10701011897.0,172494.0,302.4,male,5.22,9.0,2544.0,2007.0
185,221,15-24 years,Albania,10701011897.0,281080.0,302.4,female,4.63,13.0,2544.0,2007.0
186,222,15-24 years,Albania,10701011897.0,288349.0,302.4,male,4.51,13.0,2544.0,2007.0
187,223,25-34 years,Albania,10701011897.0,183629.0,302.4,female,4.36,8.0,2544.0,2007.0
188,224,55-74 years,Albania,10701011897.0,221120.0,302.4,female,4.07,9.0,2544.0,2007.0
189,225,35-54 years,Albania,10701011897.0,391811.0,302.4,female,3.57,14.0,2544.0,2007.0
190,226,5-14 years,Albania,10701011897.0,272497.0,302.4,male,1.47,4.0,2544.0,2007.0
191,227,5-14 years,Albania,10701011897.0,256808.0,302.4,female,0.0,0.0,2544.0,2007.0
192,228,25-34 years,Albania,12881352688.0,172855.0,408.6,male,12.15,21.0,2544.0,2008.0
193,229,35-54 years,Albania,12881352688.0,377119.0,408.6,male,9.81,37.0,2544.0,2008.0
194,230,55-74 years,Albania,12881352688.0,228672.0,408.6,male,9.18,21.0,2544.0,2008.0
195,231,75+ years,Albania,12881352688.0,59369.0,408.6,female,8.42,5.0,2544.0,2008.0
196,232,15-24 years,Albania,12881352688.0,276073.0,408.6,female,7.24,20.0,2544.0,2008.0
197,233,25-34 years,Albania,12881352688.0,182663.0,408.6,female,4.93,9.0,2544.0,2008.0
198,234,35-54 years,Albania,12881352688.0,393832.0,408.6,female,4.82,19.0,2544.0,2008.0
199,235,75+ years,Albania,12881352688.0,44574.0,408.6,male,4.49,2.0,2544.0,2008.0
200,236,15-24 years,Albania,12881352688.0,286702.0,408.6,male,3.84,11.0,2544.0,2008.0
201,237,55-74 years,Albania,12881352688.0,226448.0,408.6,female,3.09,7.0,2544.0,2008.0
202,238,5-14 years,Albania,12881352688.0,262464.0,408.6,male,2.67,7.0,2544.0,2008.0
203,239,5-14 years,Albania,12881352688.0,246288.0,408.6,female,0.41,1.0,2544.0,2008.0
204,264,35-54 years,Armenia,2256838858.0,332700.0,6.7,male,7.51,25.0,2474.0,1990.0
205,265,75+ years,Armenia,2256838858.0,26900.0,6.7,male,7.43,2.0,2474.0,1990.0
206,266,55-74 years,Armenia,2256838858.0,183800.0,6.7,male,5.98,11.0,2474.0,1990.0
207,267,25-34 years,Armenia,2256838858.0,307100.0,6.7,male,5.21,16.0,2474.0,1990.0
208,268,35-54 years,Armenia,2256838858.0,358000.0,6.7,female,4.19,15.0,2474.0,1990.0
209,269,15-24 years,Armenia,2256838858.0,272500.0,6.7,male,3.67,10.0,2474.0,1990.0
210,270,55-74 years,Armenia,2256838858.0,224100.0,6.7,female,2.68,6.0,2474.0,1990.0
211,271,75+ years,Armenia,2256838858.0,48900.0,6.7,female,2.04,1.0,2474.0,1990.0
212,272,25-34 years,Armenia,2256838858.0,320700.0,6.7,female,1.25,4.0,2474.0,1990.0
213,273,15-24 years,Armenia,2256838858.0,258500.0,6.7,female,1.16,3.0,2474.0,1990.0
214,274,5-14 years,Armenia,2256838858.0,316900.0,6.7,female,0.0,0.0,2474.0,1990.0
215,275,5-14 years,Armenia,2256838858.0,333600.0,6.7,male,0.0,0.0,2474.0,1990.0
216,276,75+ years,Armenia,2068526522.0,28800.0,6.7,male,17.36,5.0,2474.0,1991.0
217,277,25-34 years,Armenia,2068526522.0,313800.0,6.7,male,6.37,20.0,2474.0,1991.0
218,278,55-74 years,Armenia,2068526522.0,247900.0,6.7,female,4.44,11.0,2474.0,1991.0
219,279,55-74 years,Armenia,2068526522.0,203100.0,6.7,male,4.43,9.0,2474.0,1991.0
220,280,35-54 years,Armenia,2068526522.0,348500.0,6.7,male,4.02,14.0,2474.0,1991.0
221,281,75+ years,Armenia,2068526522.0,52900.0,6.7,female,3.78,2.0,2474.0,1991.0
222,282,35-54 years,Armenia,2068526522.0,396300.0,6.7,female,2.27,9.0,2474.0,1991.0
223,283,15-24 years,Armenia,2068526522.0,295300.0,6.7,male,2.03,6.0,2474.0,1991.0
224,284,25-34 years,Armenia,2068526522.0,342100.0,6.7,female,1.17,4.0,2474.0,1991.0
225,285,15-24 years,Armenia,2068526522.0,286400.0,6.7,female,0.0,0.0,2474.0,1991.0
226,286,5-14 years,Armenia,2068526522.0,349500.0,6.7,female,0.0,0.0,2474.0,1991.0
227,287,5-14 years,Armenia,2068526522.0,366200.0,6.7,male,0.0,0.0,2474.0,1991.0
228,288,75+ years,Armenia,1272577456.0,28200.0,6.7,male,10.64,3.0,2474.0,1992.0
229,289,55-74 years,Armenia,1272577456.0,215100.0,6.7,male,6.97,15.0,2474.0,1992.0
230,290,35-54 years,Armenia,1272577456.0,360400.0,6.7,male,6.1,22.0,2474.0,1992.0
231,291,25-34 years,Armenia,1272577456.0,312600.0,6.7,male,4.8,15.0,2474.0,1992.0
232,292,55-74 years,Armenia,1272577456.0,263400.0,6.7,female,3.8,10.0,2474.0,1992.0
233,293,75+ years,Armenia,1272577456.0,53400.0,6.7,female,3.75,2.0,2474.0,1992.0
234,294,15-24 years,Armenia,1272577456.0,300300.0,6.7,male,3.0,9.0,2474.0,1992.0
235,295,35-54 years,Armenia,1272577456.0,410800.0,6.7,female,1.46,6.0,2474.0,1992.0
236,296,15-24 years,Armenia,1272577456.0,290100.0,6.7,female,0.34,1.0,2474.0,1992.0
237,297,25-34 years,Armenia,1272577456.0,340900.0,6.7,female,0.0,0.0,2474.0,1992.0
238,298,5-14 years,Armenia,1272577456.0,358200.0,6.7,female,0.0,0.0,2474.0,1992.0
239,299,5-14 years,Armenia,1272577456.0,375300.0,6.7,male,0.0,0.0,2474.0,1992.0
240,300,75+ years,Armenia,1201313201.0,53100.0,6.7,female,11.3,6.0,2474.0,1993.0
241,301,55-74 years,Armenia,1201313201.0,226400.0,6.7,male,8.83,20.0,2474.0,1993.0
242,302,75+ years,Armenia,1201313201.0,28400.0,6.7,male,7.04,2.0,2474.0,1993.0
243,303,35-54 years,Armenia,1201313201.0,371900.0,6.7,male,6.72,25.0,2474.0,1993.0
244,304,25-34 years,Armenia,1201313201.0,305600.0,6.7,male,5.56,17.0,2474.0,1993.0
245,305,55-74 years,Armenia,1201313201.0,276100.0,6.7,female,5.07,14.0,2474.0,1993.0
246,306,15-24 years,Armenia,1201313201.0,304800.0,6.7,male,2.3,7.0,2474.0,1993.0
247,307,25-34 years,Armenia,1201313201.0,335900.0,6.7,female,1.79,6.0,2474.0,1993.0
248,308,35-54 years,Armenia,1201313201.0,424000.0,6.7,female,1.42,6.0,2474.0,1993.0
249,309,15-24 years,Armenia,1201313201.0,293900.0,6.7,female,1.02,3.0,2474.0,1993.0
250,310,5-14 years,Armenia,1201313201.0,364200.0,6.7,female,0.0,0.0,2474.0,1993.0
251,311,5-14 years,Armenia,1201313201.0,382300.0,6.7,male,0.0,0.0,2474.0,1993.0
252,312,75+ years,Armenia,1315158670.0,28200.0,6.1,male,24.82,7.0,2474.0,1994.0
253,313,75+ years,Armenia,1315158670.0,51700.0,6.1,female,9.67,5.0,2474.0,1994.0
254,314,55-74 years,Armenia,1315158670.0,235500.0,6.1,male,8.49,20.0,2474.0,1994.0
255,315,35-54 years,Armenia,1315158670.0,382500.0,6.1,male,8.1,31.0,2474.0,1994.0
256,316,55-74 years,Armenia,1315158670.0,286000.0,6.1,female,6.29,18.0,2474.0,1994.0
257,317,25-34 years,Armenia,1315158670.0,297000.0,6.1,male,3.37,10.0,2474.0,1994.0
258,318,15-24 years,Armenia,1315158670.0,308300.0,6.1,male,1.95,6.0,2474.0,1994.0
259,319,35-54 years,Armenia,1315158670.0,437100.0,6.1,female,1.6,7.0,2474.0,1994.0
260,320,15-24 years,Armenia,1315158670.0,297600.0,6.1,female,1.34,4.0,2474.0,1994.0
261,321,5-14 years,Armenia,1315158670.0,385400.0,6.1,male,0.52,2.0,2474.0,1994.0
262,322,25-34 years,Armenia,1315158670.0,326200.0,6.1,female,0.31,1.0,2474.0,1994.0
263,323,5-14 years,Armenia,1315158670.0,367000.0,6.1,female,0.27,1.0,2474.0,1994.0
264,324,55-74 years,Armenia,1468317350.0,242300.0,17.4,male,11.97,29.0,2474.0,1995.0
265,325,35-54 years,Armenia,1468317350.0,395200.0,17.4,male,8.1,32.0,2474.0,1995.0
266,326,25-34 years,Armenia,1468317350.0,289500.0,17.4,male,7.25,21.0,2474.0,1995.0
267,327,75+ years,Armenia,1468317350.0,28000.0,17.4,male,7.14,2.0,2474.0,1995.0
268,328,75+ years,Armenia,1468317350.0,51400.0,17.4,female,3.89,2.0,2474.0,1995.0
269,329,55-74 years,Armenia,1468317350.0,295200.0,17.4,female,3.73,11.0,2474.0,1995.0
270,330,25-34 years,Armenia,1468317350.0,313300.0,17.4,female,3.51,11.0,2474.0,1995.0
271,331,15-24 years,Armenia,1468317350.0,313600.0,17.4,male,3.19,10.0,2474.0,1995.0
272,332,35-54 years,Armenia,1468317350.0,453600.0,17.4,female,1.76,8.0,2474.0,1995.0
273,333,15-24 years,Armenia,1468317350.0,303200.0,17.4,female,0.99,3.0,2474.0,1995.0
274,334,5-14 years,Armenia,1468317350.0,388200.0,17.4,male,0.26,1.0,2474.0,1995.0
275,335,5-14 years,Armenia,1468317350.0,369700.0,17.4,female,0.0,0.0,2474.0,1995.0
276,336,75+ years,Armenia,1596968913.0,27900.0,22.9,male,10.75,3.0,2474.0,1996.0
