,age,country,country-year,gdp_for_year ($),gdp_per_capita ($),generation,population,salaries,sex,suicides/100k pop,suicides_no,year
86,25-34 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,235300.0,82.7,male,5.95,14.0,1996.0
87,15-24 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,287700.0,82.7,female,5.56,16.0,1996.0
88,75+ years,Albania,Albania1996,3314898292.0,1127.0,G.I. Generation,41200.0,82.7,female,4.85,2.0,1996.0
89,25-34 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,267900.0,82.7,female,3.73,10.0,1996.0
90,35-54 years,Albania,Albania1996,3314898292.0,1127.0,Boomers,379600.0,82.7,male,3.16,12.0,1996.0
91,35-54 years,Albania,Albania1996,3314898292.0,1127.0,Boomers,362000.0,82.7,female,2.49,9.0,1996.0
92,55-74 years,Albania,Albania1996,3314898292.0,1127.0,Silent,179900.0,82.7,male,1.67,3.0,1996.0
93,55-74 years,Albania,Albania1996,3314898292.0,1127.0,Silent,183100.0,82.7,female,0.55,1.0,1996.0
94,5-14 years,Albania,Albania1996,3314898292.0,1127.0,Millenials,380400.0,82.7,male,0.53,2.0,1996.0
95,5-14 years,Albania,Albania1996,3314898292.0,1127.0,Millenials,354100.0,82.7,female,0.28,1.0,1996.0
96,25-34 years,Albania,Albania1997,2359903108.0,793.0,Generation X,236000.0,60.8,male,15.25,36.0,1997.0
97,15-24 years,Albania,Albania1997,2359903108.0,793.0,Generation X,244400.0,60.8,male,13.5,33.0,1997.0
98,75+ years,Albania,Albania1997,2359903108.0,793.0,G.I. Generation,25400.0,60.8,male,11.81,3.0,1997.0
99,35-54 years,Albania,Albania1997,2359903108.0,793.0,Boomers,380800.0,60.8,male,7.88,30.0,1997.0
100,15-24 years,Albania,Albania1997,2359903108.0,793.0,Generation X,294000.0,60.8,female,7.14,21.0,1997.0
101,55-74 years,Albania,Albania1997,2359903108.0,793.0,Silent,180300.0,60.8,male,6.66,12.0,1997.0
102,25-34 years,Albania,Albania1997,2359903108.0,793.0,Generation X,273900.0,60.8,female,5.84,16.0,1997.0
103,75+ years,Albania,Albania1997,2359903108.0,793.0,G.I. Generation,42100.0,60.8,female,4.75,2.0,1997.0
104,35-54 years,Albania,Albania1997,2359903108.0,793.0,Boomers,370100.0,60.8,female,1.89,7.0,1997.0
105,5-14 years,Albania,Albania1997,2359903108.0,793.0,Millenials,361800.0,60.8,female,1.66,6.0,1997.0
106,5-14 years,Albania,Albania1997,2359903108.0,793.0,Millenials,381500.0,60.8,male,1.05,4.0,1997.0
107,55-74 years,Albania,Albania1997,2359903108.0,793.0,Silent,187000.0,60.8,female,0.0,0.0,1997.0
108,75+ years,Albania,Albania1998,2707123772.0,899.0,G.I. Generation,25800.0,72.3,male,11.63,3.0,1998.0
109,15-24 years,Albania,Albania1998,2707123772.0,899.0,Generation X,248800.0,72.3,male,10.85,27.0,1998.0
110,15-24 years,Albania,Albania1998,2707123772.0,899.0,Generation X,295600.0,72.3,female,10.83,32.0,1998.0
111,25-34 years,Albania,Albania1998,2707123772.0,899.0,Generation X,240400.0,72.3,male,10.82,26.0,1998.0
112,35-54 years,Albania,Albania1998,2707123772.0,899.0,Boomers,388200.0,72.3,male,7.47,29.0,1998.0
113,55-74 years,Albania,Albania1998,2707123772.0,899.0,Silent,183800.0,72.3,male,4.9,9.0,1998.0
114,25-34 years,Albania,Albania1998,2707123772.0,899.0,Generation X,275300.0,72.3,female,3.63,10.0,1998.0
115,55-74 years,Albania,Albania1998,2707123772.0,899.0,Silent,188200.0,72.3,female,3.19,6.0,1998.0
116,35-54 years,Albania,Albania1998,2707123772.0,899.0,Boomers,372100.0,72.3,female,2.42,9.0,1998.0
117,5-14 years,Albania,Albania1998,2707123772.0,899.0,Millenials,388400.0,72.3,male,0.51,2.0,1998.0
118,5-14 years,Albania,Albania1998,2707123772.0,899.0,Millenials,363800.0,72.3,female,0.27,1.0,1998.0
119,75+ years,Albania,Albania1998,2707123772.0,899.0,G.I. Generation,42300.0,72.3,female,0.0,0.0,1998.0
120,75+ years,Albania,Albania1999,3414760915.0,1127.0,G.I. Generation,25900.0,88.0,male,11.58,3.0,1999.0
121,15-24 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,250600.0,88.0,male,9.58,24.0,1999.0
122,75+ years,Albania,Albania1999,3414760915.0,1127.0,G.I. Generation,42400.0,88.0,female,9.43,4.0,1999.0
123,35-54 years,Albania,Albania1999,3414760915.0,1127.0,Boomers,391100.0,88.0,male,7.93,31.0,1999.0
124,25-34 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,242300.0,88.0,male,7.84,19.0,1999.0
125,55-74 years,Albania,Albania1999,3414760915.0,1127.0,Silent,185200.0,88.0,male,7.56,14.0,1999.0
126,15-24 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,296800.0,88.0,female,6.4,19.0,1999.0
127,25-34 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,276500.0,88.0,female,4.7,13.0,1999.0
128,55-74 years,Albania,Albania1999,3414760915.0,1127.0,Silent,188800.0,88.0,female,3.18,6.0,1999.0
129,35-54 years,Albania,Albania1999,3414760915.0,1127.0,Boomers,373600.0,88.0,female,1.34,5.0,1999.0
130,5-14 years,Albania,Albania1999,3414760915.0,1127.0,Millenials,365200.0,88.0,female,0.27,1.0,1999.0
131,5-14 years,Albania,Albania1999,3414760915.0,1127.0,Millenials,391300.0,88.0,male,0.0,0.0,1999.0
132,25-34 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,232000.0,92.9,male,7.33,17.0,2000.0
133,55-74 years,Albania,Albania2000,3632043908.0,1299.0,Silent,177400.0,92.9,male,5.64,10.0,2000.0
134,75+ years,Albania,Albania2000,3632043908.0,1299.0,G.I. Generation,37800.0,92.9,female,5.29,2.0,2000.0
135,75+ years,Albania,Albania2000,3632043908.0,1299.0,G.I. Generation,24900.0,92.9,male,4.02,1.0,2000.0
136,15-24 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,263900.0,92.9,female,2.27,6.0,2000.0
137,15-24 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,240000.0,92.9,male,2.08,5.0,2000.0
138,35-54 years,Albania,Albania2000,3632043908.0,1299.0,Boomers,332200.0,92.9,female,1.51,5.0,2000.0
139,25-34 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,245800.0,92.9,female,1.22,3.0,2000.0
140,35-54 years,Albania,Albania2000,3632043908.0,1299.0,Boomers,374700.0,92.9,male,1.07,4.0,2000.0
141,5-14 years,Albania,Albania2000,3632043908.0,1299.0,Millenials,374900.0,92.9,male,0.27,1.0,2000.0
142,5-14 years,Albania,Albania2000,3632043908.0,1299.0,Millenials,324700.0,92.9,female,0.0,0.0,2000.0
143,55-74 years,Albania,Albania2000,3632043908.0,1299.0,Silent,168000.0,92.9,female,0.0,0.0,2000.0
144,25-34 years,Albania,Albania2001,4060758804.0,1451.0,Generation X,206484.0,103.3,male,10.65,22.0,2001.0
145,35-54 years,Albania,Albania2001,4060758804.0,1451.0,Boomers,378826.0,103.3,male,8.98,34.0,2001.0
146,55-74 years,Albania,Albania2001,4060758804.0,1451.0,Silent,196670.0,103.3,male,5.59,11.0,2001.0
147,75+ years,Albania,Albania2001,4060758804.0,1451.0,Silent,47254.0,103.3,female,4.23,2.0,2001.0
148,15-24 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,256039.0,103.3,male,3.91,10.0,2001.0
149,15-24 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,271359.0,103.3,female,3.32,9.0,2001.0
150,35-54 years,Albania,Albania2001,4060758804.0,1451.0,Boomers,370191.0,103.3,female,3.24,12.0,2001.0
151,75+ years,Albania,Albania2001,4060758804.0,1451.0,Silent,31044.0,103.3,male,3.22,1.0,2001.0
152,55-74 years,Albania,Albania2001,4060758804.0,1451.0,Silent,189799.0,103.3,female,3.16,6.0,2001.0
153,5-14 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,321556.0,103.3,male,1.87,6.0,2001.0
154,25-34 years,Albania,Albania2001,4060758804.0,1451.0,Generation X,222771.0,103.3,female,1.8,4.0,2001.0
155,5-14 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,307356.0,103.3,female,0.65,2.0,2001.0
156,75+ years,Albania,Albania2002,4435078648.0,1573.0,Silent,31007.0,118.0,male,12.9,4.0,2002.0
157,25-34 years,Albania,Albania2002,4435078648.0,1573.0,Generation X,206286.0,118.0,male,11.15,23.0,2002.0
158,35-54 years,Albania,Albania2002,4435078648.0,1573.0,Boomers,382139.0,118.0,male,9.16,35.0,2002.0
159,55-74 years,Albania,Albania2002,4435078648.0,1573.0,Silent,198130.0,118.0,male,6.56,13.0,2002.0
160,15-24 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,263067.0,118.0,male,5.7,15.0,2002.0
161,15-24 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,275970.0,118.0,female,5.07,14.0,2002.0
162,35-54 years,Albania,Albania2002,4435078648.0,1573.0,Boomers,375113.0,118.0,female,4.0,15.0,2002.0
163,25-34 years,Albania,Albania2002,4435078648.0,1573.0,Generation X,223685.0,118.0,female,3.13,7.0,2002.0
164,75+ years,Albania,Albania2002,4435078648.0,1573.0,Silent,47407.0,118.0,female,2.11,1.0,2002.0
165,55-74 years,Albania,Albania2002,4435078648.0,1573.0,Silent,191712.0,118.0,female,2.09,4.0,2002.0
166,5-14 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,304850.0,118.0,female,0.33,1.0,2002.0
167,5-14 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,319473.0,118.0,male,0.31,1.0,2002.0
168,75+ years,Albania,Albania2003,5746945913.0,2021.0,Silent,49088.0,152.0,female,12.22,6.0,2003.0
169,55-74 years,Albania,Albania2003,5746945913.0,2021.0,Silent,201520.0,152.0,male,7.94,16.0,2003.0
170,35-54 years,Albania,Albania2003,5746945913.0,2021.0,Boomers,386196.0,152.0,male,7.25,28.0,2003.0
171,15-24 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,273235.0,152.0,male,5.49,15.0,2003.0
172,15-24 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,283709.0,152.0,female,4.93,14.0,2003.0
173,55-74 years,Albania,Albania2003,5746945913.0,2021.0,Silent,195699.0,152.0,female,4.6,9.0,2003.0
174,25-34 years,Albania,Albania2003,5746945913.0,2021.0,Generation X,205433.0,152.0,male,4.38,9.0,2003.0
175,25-34 years,Albania,Albania2003,5746945913.0,2021.0,Generation X,222941.0,152.0,female,4.04,9.0,2003.0
176,35-54 years,Albania,Albania2003,5746945913.0,2021.0,Boomers,381760.0,152.0,female,3.41,13.0,2003.0
177,75+ years,Albania,Albania2003,5746945913.0,2021.0,Silent,32667.0,152.0,male,3.06,1.0,2003.0
178,5-14 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,313204.0,152.0,male,1.28,4.0,2003.0
179,5-14 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,298477.0,152.0,female,0.0,0.0,2003.0
180,75+ years,Albania,Albania2004,7314865176.0,2544.0,Silent,35526.0,185.2,male,11.26,4.0,2004.0
181,35-54 years,Albania,Albania2004,7314865176.0,2544.0,Boomers,391767.0,185.2,male,9.95,39.0,2004.0
182,25-34 years,Albania,Albania2004,7314865176.0,2544.0,Generation X,203938.0,185.2,male,7.85,16.0,2004.0
183,15-24 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,292268.0,185.2,female,6.84,20.0,2004.0
184,15-24 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,286768.0,185.2,male,6.63,19.0,2004.0
185,75+ years,Albania,Albania2004,7314865176.0,2544.0,Silent,50970.0,185.2,female,5.89,3.0,2004.0
186,25-34 years,Albania,Albania2004,7314865176.0,2544.0,Generation X,222389.0,185.2,female,4.95,11.0,2004.0
187,55-74 years,Albania,Albania2004,7314865176.0,2544.0,Silent,207202.0,185.2,male,4.83,10.0,2004.0
188,35-54 years,Albania,Albania2004,7314865176.0,2544.0,Boomers,391436.0,185.2,female,4.34,17.0,2004.0
189,55-74 years,Albania,Albania2004,7314865176.0,2544.0,Silent,203841.0,185.2,female,1.47,3.0,2004.0
190,5-14 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,286705.0,185.2,female,1.05,3.0,2004.0
191,5-14 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,302181.0,185.2,male,0.33,1.0,2004.0
192,15-24 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,281922.0,200.2,female,0.0,0.0,2005.0
193,25-34 years,Albania,Albania2005,8158548717.0,2931.0,Generation X,190745.0,200.2,female,0.0,0.0,2005.0
194,35-54 years,Albania,Albania2005,8158548717.0,2931.0,Boomers,386513.0,200.2,female,0.0,0.0,2005.0
195,5-14 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,276559.0,200.2,female,0.0,0.0,2005.0
196,55-74 years,Albania,Albania2005,8158548717.0,2931.0,Silent,210998.0,200.2,female,0.0,0.0,2005.0
197,75+ years,Albania,Albania2005,8158548717.0,2931.0,Silent,53191.0,200.2,female,0.0,0.0,2005.0
198,15-24 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,281675.0,200.2,male,0.0,0.0,2005.0
199,25-34 years,Albania,Albania2005,8158548717.0,2931.0,Generation X,177519.0,200.2,male,0.0,0.0,2005.0
200,35-54 years,Albania,Albania2005,8158548717.0,2931.0,Boomers,380242.0,200.2,male,0.0,0.0,2005.0
201,5-14 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,291367.0,200.2,male,0.0,0.0,2005.0
202,55-74 years,Albania,Albania2005,8158548717.0,2931.0,Silent,214118.0,200.2,male,0.0,0.0,2005.0
203,75+ years,Albania,Albania2005,8158548717.0,2931.0,Silent,38471.0,200.2,male,0.0,0.0,2005.0
204,15-24 years,Albania,Albania2006,8992642349.0,3235.0,Millenials,283138.0,222.6,female,0.0,0.0,2006.0
205,25-34 years,Albania,Albania2006,8992642349.0,3235.0,Generation X,186391.0,222.6,female,0.0,0.0,2006.0
206,35-54 years,Albania,Albania2006,8992642349.0,3235.0,Boomers,388746.0,222.6,female,0.0,0.0,2006.0
207,5-14 years,Albania,Albania2006,8992642349.0,3235.0,Millenials,267316.0,222.6,female,0.0,0.0,2006.0
208,55-74 years,Albania,Albania2006,8992642349.0,3235.0,Silent,215907.0,222.6,female,0.0,0.0,2006.0
209,75+ years,Albania,Albania2006,8992642349.0,3235.0,Silent,56011.0,222.6,female,0.0,0.0,2006.0
210,15-24 years,Albania,Albania2006,8992642349.0,3235.0,Millenials,286679.0,222.6,male,0.0,0.0,2006.0
211,25-34 years,Albania,Albania2006,8992642349.0,3235.0,Generation X,174092.0,222.6,male,0.0,0.0,2006.0
212,35-54 years,Albania,Albania2006,8992642349.0,3235.0,Boomers,379076.0,222.6,male,0.0,0.0,2006.0
213,5-14 years,Albania,Albania2006,8992642349.0,3235.0,Millenials,282678.0,222.6,male,0.0,0.0,2006.0
214,55-74 years,Albania,Albania2006,8992642349.0,3235.0,Silent,219360.0,222.6,male,0.0,0.0,2006.0
215,75+ years,Albania,Albania2006,8992642349.0,3235.0,Silent,40782.0,222.6,male,0.0,0.0,2006.0
216,75+ years,Albania,Albania2007,10701011897.0,3863.0,Silent,42366.0,302.4,male,18.88,8.0,2007.0
217,35-54 years,Albania,Albania2007,10701011897.0,3863.0,Boomers,378626.0,302.4,male,7.66,29.0,2007.0
218,55-74 years,Albania,Albania2007,10701011897.0,3863.0,Silent,224160.0,302.4,male,6.25,14.0,2007.0
219,75+ years,Albania,Albania2007,10701011897.0,3863.0,Silent,57404.0,302.4,female,5.23,3.0,2007.0
220,25-34 years,Albania,Albania2007,10701011897.0,3863.0,Generation X,172494.0,302.4,male,5.22,9.0,2007.0
221,15-24 years,Albania,Albania2007,10701011897.0,3863.0,Millenials,281080.0,302.4,female,4.63,13.0,2007.0
222,15-24 years,Albania,Albania2007,10701011897.0,3863.0,Millenials,288349.0,302.4,male,4.51,13.0,2007.0
223,25-34 years,Albania,Albania2007,10701011897.0,3863.0,Generation X,183629.0,302.4,female,4.36,8.0,2007.0
224,55-74 years,Albania,Albania2007,10701011897.0,3863.0,Silent,221120.0,302.4,female,4.07,9.0,2007.0
225,35-54 years,Albania,Albania2007,10701011897.0,3863.0,Boomers,391811.0,302.4,female,3.57,14.0,2007.0
226,5-14 years,Albania,Albania2007,10701011897.0,3863.0,Generation Z,272497.0,302.4,male,1.47,4.0,2007.0
227,5-14 years,Albania,Albania2007,10701011897.0,3863.0,Generation Z,256808.0,302.4,female,0.0,0.0,2007.0
228,25-34 years,Albania,Albania2008,12881352688.0,4672.0,Generation X,172855.0,408.6,male,12.15,21.0,2008.0
229,35-54 years,Albania,Albania2008,12881352688.0,4672.0,Boomers,377119.0,408.6,male,9.81,37.0,2008.0
230,55-74 years,Albania,Albania2008,12881352688.0,4672.0,Silent,228672.0,408.6,male,9.18,21.0,2008.0
231,75+ years,Albania,Albania2008,12881352688.0,4672.0,Silent,59369.0,408.6,female,8.42,5.0,2008.0
232,15-24 years,Albania,Albania2008,12881352688.0,4672.0,Millenials,276073.0,408.6,female,7.24,20.0,2008.0
233,25-34 years,Albania,Albania2008,12881352688.0,4672.0,Generation X,182663.0,408.6,female,4.93,9.0,2008.0
234,35-54 years,Albania,Albania2008,12881352688.0,4672.0,Boomers,393832.0,408.6,female,4.82,19.0,2008.0
235,75+ years,Albania,Albania2008,12881352688.0,4672.0,Silent,44574.0,408.6,male,4.49,2.0,2008.0
236,15-24 years,Albania,Albania2008,12881352688.0,4672.0,Millenials,286702.0,408.6,male,3.84,11.0,2008.0
237,55-74 years,Albania,Albania2008,12881352688.0,4672.0,Silent,226448.0,408.6,female,3.09,7.0,2008.0
238,5-14 years,Albania,Albania2008,12881352688.0,4672.0,Generation Z,262464.0,408.6,male,2.67,7.0,2008.0
