,Unnamed: 0,age,country,country-year,gdp_for_year ($),gdp_per_capita ($),generation,population,salaries,sex,suicides/100k pop,suicides_no,sunshine_hours_per_year,year
16,16.0,55-74 years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,140200.0,,male,2.85,4.0,2544.0,1988.0
17,17.0,15-24 years,Albania,Albania1988,2126000000.0,769.0,Generation X,295600.0,,female,2.71,8.0,2544.0,1988.0
18,18.0,55-74 years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,147500.0,,female,2.03,3.0,2544.0,1988.0
19,19.0,25-34 years,Albania,Albania1988,2126000000.0,769.0,Boomers,262400.0,,female,1.91,5.0,2544.0,1988.0
20,20.0,25-34 years,Albania,Albania1988,2126000000.0,769.0,Boomers,279900.0,,male,1.79,5.0,2544.0,1988.0
21,21.0,35-54 years,Albania,Albania1988,2126000000.0,769.0,Silent,284500.0,,female,1.41,4.0,2544.0,1988.0
22,22.0,5-14 years,Albania,Albania1988,2126000000.0,769.0,Generation X,317200.0,,female,0.0,0.0,2544.0,1988.0
23,23.0,5-14 years,Albania,Albania1988,2126000000.0,769.0,Generation X,345000.0,,male,0.0,0.0,2544.0,1988.0
24,24.0,75+ years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,22500.0,,male,8.89,2.0,2544.0,1989.0
25,25.0,25-34 years,Albania,Albania1989,2335124988.0,833.0,Boomers,283600.0,,male,6.35,18.0,2544.0,1989.0
26,26.0,35-54 years,Albania,Albania1989,2335124988.0,833.0,Silent,318400.0,,male,4.71,15.0,2544.0,1989.0
27,27.0,55-74 years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,142100.0,,male,4.22,6.0,2544.0,1989.0
28,28.0,15-24 years,Albania,Albania1989,2335124988.0,833.0,Generation X,323500.0,,male,3.71,12.0,2544.0,1989.0
29,29.0,35-54 years,Albania,Albania1989,2335124988.0,833.0,Silent,288600.0,,female,2.43,7.0,2544.0,1989.0
30,30.0,15-24 years,Albania,Albania1989,2335124988.0,833.0,Generation X,299900.0,,female,1.67,5.0,2544.0,1989.0
31,31.0,25-34 years,Albania,Albania1989,2335124988.0,833.0,Boomers,266300.0,,female,0.75,2.0,2544.0,1989.0
32,32.0,55-74 years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,149600.0,,female,0.67,1.0,2544.0,1989.0
33,33.0,5-14 years,Albania,Albania1989,2335124988.0,833.0,Generation X,321900.0,,female,0.0,0.0,2544.0,1989.0
34,34.0,75+ years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,37000.0,,female,0.0,0.0,2544.0,1989.0
35,35.0,5-14 years,Albania,Albania1989,2335124988.0,833.0,Generation X,349700.0,,male,0.0,0.0,2544.0,1989.0
36,36.0,35-54 years,Albania,Albania1992,709452584.0,251.0,Boomers,343800.0,23.8,male,3.49,12.0,2544.0,1992.0
37,37.0,15-24 years,Albania,Albania1992,709452584.0,251.0,Generation X,263700.0,23.8,male,3.41,9.0,2544.0,1992.0
38,38.0,55-74 years,Albania,Albania1992,709452584.0,251.0,Silent,159500.0,23.8,male,3.13,5.0,2544.0,1992.0
39,39.0,25-34 years,Albania,Albania1992,709452584.0,251.0,Boomers,245500.0,23.8,male,2.85,7.0,2544.0,1992.0
40,40.0,15-24 years,Albania,Albania1992,709452584.0,251.0,Generation X,292400.0,23.8,female,2.39,7.0,2544.0,1992.0
41,41.0,25-34 years,Albania,Albania1992,709452584.0,251.0,Boomers,267400.0,23.8,female,1.5,4.0,2544.0,1992.0
42,42.0,35-54 years,Albania,Albania1992,709452584.0,251.0,Boomers,323100.0,23.8,female,0.62,2.0,2544.0,1992.0
43,43.0,55-74 years,Albania,Albania1992,709452584.0,251.0,Silent,164900.0,23.8,female,0.61,1.0,2544.0,1992.0
44,44.0,5-14 years,Albania,Albania1992,709452584.0,251.0,Millenials,336700.0,23.8,female,0.0,0.0,2544.0,1992.0
45,45.0,75+ years,Albania,Albania1992,709452584.0,251.0,G.I. Generation,38700.0,23.8,female,0.0,0.0,2544.0,1992.0
46,46.0,5-14 years,Albania,Albania1992,709452584.0,251.0,Millenials,362900.0,23.8,male,0.0,0.0,2544.0,1992.0
47,47.0,75+ years,Albania,Albania1992,709452584.0,251.0,G.I. Generation,23900.0,23.8,male,0.0,0.0,2544.0,1992.0
48,48.0,15-24 years,Albania,Albania1993,1228071038.0,437.0,Generation X,243300.0,30.2,male,7.4,18.0,2544.0,1993.0
49,49.0,55-74 years,Albania,Albania1993,1228071038.0,437.0,Silent,165000.0,30.2,male,4.24,7.0,2544.0,1993.0
50,50.0,75+ years,Albania,Albania1993,1228071038.0,437.0,G.I. Generation,24200.0,30.2,male,4.13,1.0,2544.0,1993.0
51,51.0,25-34 years,Albania,Albania1993,1228071038.0,437.0,Boomers,230100.0,30.2,male,3.91,9.0,2544.0,1993.0
52,52.0,15-24 years,Albania,Albania1993,1228071038.0,437.0,Generation X,285300.0,30.2,female,3.51,10.0,2544.0,1993.0
53,53.0,35-54 years,Albania,Albania1993,1228071038.0,437.0,Boomers,350300.0,30.2,male,2.85,10.0,2544.0,1993.0
54,54.0,25-34 years,Albania,Albania1993,1228071038.0,437.0,Boomers,261800.0,30.2,female,2.67,7.0,2544.0,1993.0
55,55.0,35-54 years,Albania,Albania1993,1228071038.0,437.0,Boomers,331200.0,30.2,female,2.11,7.0,2544.0,1993.0
56,56.0,55-74 years,Albania,Albania1993,1228071038.0,437.0,Silent,169500.0,30.2,female,1.18,2.0,2544.0,1993.0
57,57.0,5-14 years,Albania,Albania1993,1228071038.0,437.0,Millenials,340300.0,30.2,female,0.29,1.0,2544.0,1993.0
58,58.0,5-14 years,Albania,Albania1993,1228071038.0,437.0,Millenials,367000.0,30.2,male,0.27,1.0,2544.0,1993.0
59,59.0,75+ years,Albania,Albania1993,1228071038.0,437.0,G.I. Generation,39300.0,30.2,female,0.0,0.0,2544.0,1993.0
60,60.0,75+ years,Albania,Albania1994,1985673798.0,697.0,G.I. Generation,24600.0,50.5,male,8.13,2.0,2544.0,1994.0
61,61.0,55-74 years,Albania,Albania1994,1985673798.0,697.0,Silent,171400.0,50.5,male,6.42,11.0,2544.0,1994.0
62,62.0,75+ years,Albania,Albania1994,1985673798.0,697.0,G.I. Generation,39900.0,50.5,female,5.01,2.0,2544.0,1994.0
63,63.0,25-34 years,Albania,Albania1994,1985673798.0,697.0,Boomers,231400.0,50.5,male,2.59,6.0,2544.0,1994.0
64,64.0,35-54 years,Albania,Albania1994,1985673798.0,697.0,Boomers,362800.0,50.5,male,2.48,9.0,2544.0,1994.0
65,65.0,15-24 years,Albania,Albania1994,1985673798.0,697.0,Generation X,242200.0,50.5,male,2.48,6.0,2544.0,1994.0
66,66.0,15-24 years,Albania,Albania1994,1985673798.0,697.0,Generation X,282600.0,50.5,female,2.12,6.0,2544.0,1994.0
67,67.0,25-34 years,Albania,Albania1994,1985673798.0,697.0,Boomers,261100.0,50.5,female,1.53,4.0,2544.0,1994.0
68,68.0,35-54 years,Albania,Albania1994,1985673798.0,697.0,Boomers,342500.0,50.5,female,0.58,2.0,2544.0,1994.0
69,69.0,55-74 years,Albania,Albania1994,1985673798.0,697.0,Silent,174600.0,50.5,female,0.57,1.0,2544.0,1994.0
70,70.0,5-14 years,Albania,Albania1994,1985673798.0,697.0,Millenials,371800.0,50.5,male,0.27,1.0,2544.0,1994.0
71,71.0,5-14 years,Albania,Albania1994,1985673798.0,697.0,Millenials,344400.0,50.5,female,0.0,0.0,2544.0,1994.0
72,72.0,25-34 years,Albania,Albania1995,2424499009.0,835.0,Generation X,232900.0,69.1,male,5.58,13.0,2544.0,1995.0
73,73.0,55-74 years,Albania,Albania1995,2424499009.0,835.0,Silent,178000.0,69.1,male,5.06,9.0,2544.0,1995.0
74,74.0,75+ years,Albania,Albania1995,2424499009.0,835.0,G.I. Generation,40800.0,69.1,female,4.9,2.0,2544.0,1995.0
75,75.0,15-24 years,Albania,Albania1995,2424499009.0,835.0,Generation X,283500.0,69.1,female,4.59,13.0,2544.0,1995.0
76,76.0,15-24 years,Albania,Albania1995,2424499009.0,835.0,Generation X,241200.0,69.1,male,4.56,11.0,2544.0,1995.0
77,77.0,75+ years,Albania,Albania1995,2424499009.0,835.0,G.I. Generation,25100.0,69.1,male,3.98,1.0,2544.0,1995.0
78,78.0,35-54 years,Albania,Albania1995,2424499009.0,835.0,Boomers,375900.0,69.1,male,3.72,14.0,2544.0,1995.0
79,79.0,25-34 years,Albania,Albania1995,2424499009.0,835.0,Generation X,264000.0,69.1,female,2.65,7.0,2544.0,1995.0
80,80.0,35-54 years,Albania,Albania1995,2424499009.0,835.0,Boomers,356400.0,69.1,female,2.24,8.0,2544.0,1995.0
81,81.0,5-14 years,Albania,Albania1995,2424499009.0,835.0,Millenials,376500.0,69.1,male,1.59,6.0,2544.0,1995.0
82,82.0,55-74 years,Albania,Albania1995,2424499009.0,835.0,Silent,180400.0,69.1,female,1.11,2.0,2544.0,1995.0
83,83.0,5-14 years,Albania,Albania1995,2424499009.0,835.0,Millenials,348700.0,69.1,female,0.57,2.0,2544.0,1995.0
84,84.0,75+ years,Albania,Albania1996,3314898292.0,1127.0,G.I. Generation,25400.0,82.7,male,7.87,2.0,2544.0,1996.0
85,85.0,15-24 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,243600.0,82.7,male,6.98,17.0,2544.0,1996.0
86,86.0,25-34 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,235300.0,82.7,male,5.95,14.0,2544.0,1996.0
87,87.0,15-24 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,287700.0,82.7,female,5.56,16.0,2544.0,1996.0
88,88.0,75+ years,Albania,Albania1996,3314898292.0,1127.0,G.I. Generation,41200.0,82.7,female,4.85,2.0,2544.0,1996.0
89,89.0,25-34 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,267900.0,82.7,female,3.73,10.0,2544.0,1996.0
90,90.0,35-54 years,Albania,Albania1996,3314898292.0,1127.0,Boomers,379600.0,82.7,male,3.16,12.0,2544.0,1996.0
91,91.0,35-54 years,Albania,Albania1996,3314898292.0,1127.0,Boomers,362000.0,82.7,female,2.49,9.0,2544.0,1996.0
92,92.0,55-74 years,Albania,Albania1996,3314898292.0,1127.0,Silent,179900.0,82.7,male,1.67,3.0,2544.0,1996.0
93,93.0,55-74 years,Albania,Albania1996,3314898292.0,1127.0,Silent,183100.0,82.7,female,0.55,1.0,2544.0,1996.0
94,94.0,5-14 years,Albania,Albania1996,3314898292.0,1127.0,Millenials,380400.0,82.7,male,0.53,2.0,2544.0,1996.0
95,95.0,5-14 years,Albania,Albania1996,3314898292.0,1127.0,Millenials,354100.0,82.7,female,0.28,1.0,2544.0,1996.0
96,96.0,25-34 years,Albania,Albania1997,2359903108.0,793.0,Generation X,236000.0,60.8,male,15.25,36.0,2544.0,1997.0
97,97.0,15-24 years,Albania,Albania1997,2359903108.0,793.0,Generation X,244400.0,60.8,male,13.5,33.0,2544.0,1997.0
98,98.0,75+ years,Albania,Albania1997,2359903108.0,793.0,G.I. Generation,25400.0,60.8,male,11.81,3.0,2544.0,1997.0
99,99.0,35-54 years,Albania,Albania1997,2359903108.0,793.0,Boomers,380800.0,60.8,male,7.88,30.0,2544.0,1997.0
100,100.0,15-24 years,Albania,Albania1997,2359903108.0,793.0,Generation X,294000.0,60.8,female,7.14,21.0,2544.0,1997.0
101,101.0,55-74 years,Albania,Albania1997,2359903108.0,793.0,Silent,180300.0,60.8,male,6.66,12.0,2544.0,1997.0
102,102.0,25-34 years,Albania,Albania1997,2359903108.0,793.0,Generation X,273900.0,60.8,female,5.84,16.0,2544.0,1997.0
103,103.0,75+ years,Albania,Albania1997,2359903108.0,793.0,G.I. Generation,42100.0,60.8,female,4.75,2.0,2544.0,1997.0
104,104.0,35-54 years,Albania,Albania1997,2359903108.0,793.0,Boomers,370100.0,60.8,female,1.89,7.0,2544.0,1997.0
105,105.0,5-14 years,Albania,Albania1997,2359903108.0,793.0,Millenials,361800.0,60.8,female,1.66,6.0,2544.0,1997.0
106,106.0,5-14 years,Albania,Albania1997,2359903108.0,793.0,Millenials,381500.0,60.8,male,1.05,4.0,2544.0,1997.0
107,107.0,55-74 years,Albania,Albania1997,2359903108.0,793.0,Silent,187000.0,60.8,female,0.0,0.0,2544.0,1997.0
108,108.0,75+ years,Albania,Albania1998,2707123772.0,899.0,G.I. Generation,25800.0,72.3,male,11.63,3.0,2544.0,1998.0
109,109.0,15-24 years,Albania,Albania1998,2707123772.0,899.0,Generation X,248800.0,72.3,male,10.85,27.0,2544.0,1998.0
110,110.0,15-24 years,Albania,Albania1998,2707123772.0,899.0,Generation X,295600.0,72.3,female,10.83,32.0,2544.0,1998.0
111,111.0,25-34 years,Albania,Albania1998,2707123772.0,899.0,Generation X,240400.0,72.3,male,10.82,26.0,2544.0,1998.0
112,112.0,35-54 years,Albania,Albania1998,2707123772.0,899.0,Boomers,388200.0,72.3,male,7.47,29.0,2544.0,1998.0
113,113.0,55-74 years,Albania,Albania1998,2707123772.0,899.0,Silent,183800.0,72.3,male,4.9,9.0,2544.0,1998.0
114,114.0,25-34 years,Albania,Albania1998,2707123772.0,899.0,Generation X,275300.0,72.3,female,3.63,10.0,2544.0,1998.0
115,115.0,55-74 years,Albania,Albania1998,2707123772.0,899.0,Silent,188200.0,72.3,female,3.19,6.0,2544.0,1998.0
116,116.0,35-54 years,Albania,Albania1998,2707123772.0,899.0,Boomers,372100.0,72.3,female,2.42,9.0,2544.0,1998.0
117,117.0,5-14 years,Albania,Albania1998,2707123772.0,899.0,Millenials,388400.0,72.3,male,0.51,2.0,2544.0,1998.0
118,118.0,5-14 years,Albania,Albania1998,2707123772.0,899.0,Millenials,363800.0,72.3,female,0.27,1.0,2544.0,1998.0
119,119.0,75+ years,Albania,Albania1998,2707123772.0,899.0,G.I. Generation,42300.0,72.3,female,0.0,0.0,2544.0,1998.0
120,120.0,75+ years,Albania,Albania1999,3414760915.0,1127.0,G.I. Generation,25900.0,88.0,male,11.58,3.0,2544.0,1999.0
121,121.0,15-24 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,250600.0,88.0,male,9.58,24.0,2544.0,1999.0
122,122.0,75+ years,Albania,Albania1999,3414760915.0,1127.0,G.I. Generation,42400.0,88.0,female,9.43,4.0,2544.0,1999.0
123,123.0,35-54 years,Albania,Albania1999,3414760915.0,1127.0,Boomers,391100.0,88.0,male,7.93,31.0,2544.0,1999.0
124,124.0,25-34 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,242300.0,88.0,male,7.84,19.0,2544.0,1999.0
125,125.0,55-74 years,Albania,Albania1999,3414760915.0,1127.0,Silent,185200.0,88.0,male,7.56,14.0,2544.0,1999.0
126,126.0,15-24 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,296800.0,88.0,female,6.4,19.0,2544.0,1999.0
127,127.0,25-34 years,Albania,Albania1999,3414760915.0,1127.0,Generation X,276500.0,88.0,female,4.7,13.0,2544.0,1999.0
128,128.0,55-74 years,Albania,Albania1999,3414760915.0,1127.0,Silent,188800.0,88.0,female,3.18,6.0,2544.0,1999.0
129,129.0,35-54 years,Albania,Albania1999,3414760915.0,1127.0,Boomers,373600.0,88.0,female,1.34,5.0,2544.0,1999.0
130,130.0,5-14 years,Albania,Albania1999,3414760915.0,1127.0,Millenials,365200.0,88.0,female,0.27,1.0,2544.0,1999.0
131,131.0,5-14 years,Albania,Albania1999,3414760915.0,1127.0,Millenials,391300.0,88.0,male,0.0,0.0,2544.0,1999.0
132,132.0,25-34 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,232000.0,92.9,male,7.33,17.0,2544.0,2000.0
133,133.0,55-74 years,Albania,Albania2000,3632043908.0,1299.0,Silent,177400.0,92.9,male,5.64,10.0,2544.0,2000.0
134,134.0,75+ years,Albania,Albania2000,3632043908.0,1299.0,G.I. Generation,37800.0,92.9,female,5.29,2.0,2544.0,2000.0
135,135.0,75+ years,Albania,Albania2000,3632043908.0,1299.0,G.I. Generation,24900.0,92.9,male,4.02,1.0,2544.0,2000.0
136,136.0,15-24 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,263900.0,92.9,female,2.27,6.0,2544.0,2000.0
137,137.0,15-24 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,240000.0,92.9,male,2.08,5.0,2544.0,2000.0
138,138.0,35-54 years,Albania,Albania2000,3632043908.0,1299.0,Boomers,332200.0,92.9,female,1.51,5.0,2544.0,2000.0
139,139.0,25-34 years,Albania,Albania2000,3632043908.0,1299.0,Generation X,245800.0,92.9,female,1.22,3.0,2544.0,2000.0
140,140.0,35-54 years,Albania,Albania2000,3632043908.0,1299.0,Boomers,374700.0,92.9,male,1.07,4.0,2544.0,2000.0
141,141.0,5-14 years,Albania,Albania2000,3632043908.0,1299.0,Millenials,374900.0,92.9,male,0.27,1.0,2544.0,2000.0
142,142.0,5-14 years,Albania,Albania2000,3632043908.0,1299.0,Millenials,324700.0,92.9,female,0.0,0.0,2544.0,2000.0
143,143.0,55-74 years,Albania,Albania2000,3632043908.0,1299.0,Silent,168000.0,92.9,female,0.0,0.0,2544.0,2000.0
144,144.0,25-34 years,Albania,Albania2001,4060758804.0,1451.0,Generation X,206484.0,103.3,male,10.65,22.0,2544.0,2001.0
145,145.0,35-54 years,Albania,Albania2001,4060758804.0,1451.0,Boomers,378826.0,103.3,male,8.98,34.0,2544.0,2001.0
146,146.0,55-74 years,Albania,Albania2001,4060758804.0,1451.0,Silent,196670.0,103.3,male,5.59,11.0,2544.0,2001.0
147,147.0,75+ years,Albania,Albania2001,4060758804.0,1451.0,Silent,47254.0,103.3,female,4.23,2.0,2544.0,2001.0
148,148.0,15-24 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,256039.0,103.3,male,3.91,10.0,2544.0,2001.0
149,149.0,15-24 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,271359.0,103.3,female,3.32,9.0,2544.0,2001.0
150,150.0,35-54 years,Albania,Albania2001,4060758804.0,1451.0,Boomers,370191.0,103.3,female,3.24,12.0,2544.0,2001.0
151,151.0,75+ years,Albania,Albania2001,4060758804.0,1451.0,Silent,31044.0,103.3,male,3.22,1.0,2544.0,2001.0
152,152.0,55-74 years,Albania,Albania2001,4060758804.0,1451.0,Silent,189799.0,103.3,female,3.16,6.0,2544.0,2001.0
153,153.0,5-14 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,321556.0,103.3,male,1.87,6.0,2544.0,2001.0
154,154.0,25-34 years,Albania,Albania2001,4060758804.0,1451.0,Generation X,222771.0,103.3,female,1.8,4.0,2544.0,2001.0
155,155.0,5-14 years,Albania,Albania2001,4060758804.0,1451.0,Millenials,307356.0,103.3,female,0.65,2.0,2544.0,2001.0
156,156.0,75+ years,Albania,Albania2002,4435078648.0,1573.0,Silent,31007.0,118.0,male,12.9,4.0,2544.0,2002.0
157,157.0,25-34 years,Albania,Albania2002,4435078648.0,1573.0,Generation X,206286.0,118.0,male,11.15,23.0,2544.0,2002.0
158,158.0,35-54 years,Albania,Albania2002,4435078648.0,1573.0,Boomers,382139.0,118.0,male,9.16,35.0,2544.0,2002.0
159,159.0,55-74 years,Albania,Albania2002,4435078648.0,1573.0,Silent,198130.0,118.0,male,6.56,13.0,2544.0,2002.0
160,160.0,15-24 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,263067.0,118.0,male,5.7,15.0,2544.0,2002.0
161,161.0,15-24 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,275970.0,118.0,female,5.07,14.0,2544.0,2002.0
162,162.0,35-54 years,Albania,Albania2002,4435078648.0,1573.0,Boomers,375113.0,118.0,female,4.0,15.0,2544.0,2002.0
163,163.0,25-34 years,Albania,Albania2002,4435078648.0,1573.0,Generation X,223685.0,118.0,female,3.13,7.0,2544.0,2002.0
164,164.0,75+ years,Albania,Albania2002,4435078648.0,1573.0,Silent,47407.0,118.0,female,2.11,1.0,2544.0,2002.0
165,165.0,55-74 years,Albania,Albania2002,4435078648.0,1573.0,Silent,191712.0,118.0,female,2.09,4.0,2544.0,2002.0
166,166.0,5-14 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,304850.0,118.0,female,0.33,1.0,2544.0,2002.0
167,167.0,5-14 years,Albania,Albania2002,4435078648.0,1573.0,Millenials,319473.0,118.0,male,0.31,1.0,2544.0,2002.0
168,168.0,75+ years,Albania,Albania2003,5746945913.0,2021.0,Silent,49088.0,152.0,female,12.22,6.0,2544.0,2003.0
169,169.0,55-74 years,Albania,Albania2003,5746945913.0,2021.0,Silent,201520.0,152.0,male,7.94,16.0,2544.0,2003.0
170,170.0,35-54 years,Albania,Albania2003,5746945913.0,2021.0,Boomers,386196.0,152.0,male,7.25,28.0,2544.0,2003.0
171,171.0,15-24 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,273235.0,152.0,male,5.49,15.0,2544.0,2003.0
172,172.0,15-24 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,283709.0,152.0,female,4.93,14.0,2544.0,2003.0
173,173.0,55-74 years,Albania,Albania2003,5746945913.0,2021.0,Silent,195699.0,152.0,female,4.6,9.0,2544.0,2003.0
174,174.0,25-34 years,Albania,Albania2003,5746945913.0,2021.0,Generation X,205433.0,152.0,male,4.38,9.0,2544.0,2003.0
175,175.0,25-34 years,Albania,Albania2003,5746945913.0,2021.0,Generation X,222941.0,152.0,female,4.04,9.0,2544.0,2003.0
176,176.0,35-54 years,Albania,Albania2003,5746945913.0,2021.0,Boomers,381760.0,152.0,female,3.41,13.0,2544.0,2003.0
177,177.0,75+ years,Albania,Albania2003,5746945913.0,2021.0,Silent,32667.0,152.0,male,3.06,1.0,2544.0,2003.0
178,178.0,5-14 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,313204.0,152.0,male,1.28,4.0,2544.0,2003.0
179,179.0,5-14 years,Albania,Albania2003,5746945913.0,2021.0,Millenials,298477.0,152.0,female,0.0,0.0,2544.0,2003.0
180,180.0,75+ years,Albania,Albania2004,7314865176.0,2544.0,Silent,35526.0,185.2,male,11.26,4.0,2544.0,2004.0
181,181.0,35-54 years,Albania,Albania2004,7314865176.0,2544.0,Boomers,391767.0,185.2,male,9.95,39.0,2544.0,2004.0
182,182.0,25-34 years,Albania,Albania2004,7314865176.0,2544.0,Generation X,203938.0,185.2,male,7.85,16.0,2544.0,2004.0
183,183.0,15-24 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,292268.0,185.2,female,6.84,20.0,2544.0,2004.0
184,184.0,15-24 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,286768.0,185.2,male,6.63,19.0,2544.0,2004.0
185,185.0,75+ years,Albania,Albania2004,7314865176.0,2544.0,Silent,50970.0,185.2,female,5.89,3.0,2544.0,2004.0
186,186.0,25-34 years,Albania,Albania2004,7314865176.0,2544.0,Generation X,222389.0,185.2,female,4.95,11.0,2544.0,2004.0
187,187.0,55-74 years,Albania,Albania2004,7314865176.0,2544.0,Silent,207202.0,185.2,male,4.83,10.0,2544.0,2004.0
188,188.0,35-54 years,Albania,Albania2004,7314865176.0,2544.0,Boomers,391436.0,185.2,female,4.34,17.0,2544.0,2004.0
189,189.0,55-74 years,Albania,Albania2004,7314865176.0,2544.0,Silent,203841.0,185.2,female,1.47,3.0,2544.0,2004.0
190,190.0,5-14 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,286705.0,185.2,female,1.05,3.0,2544.0,2004.0
191,191.0,5-14 years,Albania,Albania2004,7314865176.0,2544.0,Millenials,302181.0,185.2,male,0.33,1.0,2544.0,2004.0
192,192.0,15-24 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,281922.0,200.2,female,0.0,0.0,2544.0,2005.0
193,193.0,25-34 years,Albania,Albania2005,8158548717.0,2931.0,Generation X,190745.0,200.2,female,0.0,0.0,2544.0,2005.0
194,194.0,35-54 years,Albania,Albania2005,8158548717.0,2931.0,Boomers,386513.0,200.2,female,0.0,0.0,2544.0,2005.0
195,195.0,5-14 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,276559.0,200.2,female,0.0,0.0,2544.0,2005.0
196,196.0,55-74 years,Albania,Albania2005,8158548717.0,2931.0,Silent,210998.0,200.2,female,0.0,0.0,2544.0,2005.0
197,197.0,75+ years,Albania,Albania2005,8158548717.0,2931.0,Silent,53191.0,200.2,female,0.0,0.0,2544.0,2005.0
198,198.0,15-24 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,281675.0,200.2,male,0.0,0.0,2544.0,2005.0
199,199.0,25-34 years,Albania,Albania2005,8158548717.0,2931.0,Generation X,177519.0,200.2,male,0.0,0.0,2544.0,2005.0
200,200.0,35-54 years,Albania,Albania2005,8158548717.0,2931.0,Boomers,380242.0,200.2,male,0.0,0.0,2544.0,2005.0
201,201.0,5-14 years,Albania,Albania2005,8158548717.0,2931.0,Millenials,291367.0,200.2,male,0.0,0.0,2544.0,2005.0
202,202.0,55-74 years,Albania,Albania2005,8158548717.0,2931.0,Silent,214118.0,200.2,male,0.0,0.0,2544.0,2005.0
203,203.0,75+ years,Albania,Albania2005,8158548717.0,2931.0,Silent,38471.0,200.2,male,0.0,0.0,2544.0,2005.0
204,204.0,15-24 years,Albania,Albania2006,8992642349.0,3235.0,Millenials,283138.0,222.6,female,0.0,0.0,2544.0,2006.0
205,205.0,25-34 years,Albania,Albania2006,8992642349.0,3235.0,Generation X,186391.0,222.6,female,0.0,0.0,2544.0,2006.0
